lat	lng	elevation	resolution
-37.7420996	145.2049282	46.65085983	152.7032318
-37.6389918	145.1932903	83.02455902	610.8129272
-37.741928	145.736069	182.3124847	152.7032318
-37.511129	145.1205387	198.5515594	610.8129272
-37.7297383	145.2884103	65.1634903	152.7032318
-37.8851834	145.4770078	231.1878815	152.7032318
-37.6922709	145.5191148	101.0232239	152.7032318
-37.7810539	145.0306948	38.90908432	610.8129272
-37.7115113	145.1490019	38.29328156	610.8129272
-37.4713077	144.7851531	335.1149292	152.7032318
-37.7354297	144.9776807	50.35484314	610.8129272
-37.863468	145.0999374	50.02819443	610.8129272
-37.8355111	145.0330127	21.65713882	610.8129272
-37.7761216	145.578957	114.8715439	152.7032318
-37.735615	145.2605237	138.1098022	152.7032318
-37.7797955	145.078492	24.7906189	610.8129272
-37.7758851	145.6048173	112.9296036	152.7032318
-37.8343126	145.5167049	147.9954224	152.7032318
-37.7007133	145.8313999	242.6450958	152.7032318
-37.7940597	145.0103998	32.45398712	610.8129272
-37.5710091	144.9523826	225.3612671	610.8129272
-37.7893896	144.9423381	18.91495705	610.8129272
-37.6832647	144.9040706	66.61679077	610.8129272
-37.738014	145.218887	42.86398697	152.7032318
-37.6315762	145.5163193	115.544899	152.7032318
-37.4713077	144.7851531	335.1149292	152.7032318
-37.724602	145.379623	87.79297638	152.7032318
-37.775897	145.3535141	152.3930817	152.7032318
-37.654386	145.4418698	103.6894684	152.7032318
-37.4713077	144.7851531	335.1149292	152.7032318
-37.6513392	145.0891037	147.7370148	610.8129272
-37.7576097	145.1263452	50.26471329	610.8129272
-37.87672	145.0797968	39.67627716	610.8129272
-37.8343126	145.5167049	147.9954224	152.7032318
-37.72259	145.773292	224.5035095	152.7032318
-37.5397657	145.3894499	449.4212036	610.8129272
-37.6845826	145.3774028	68.18821716	152.7032318
-37.7387411	145.4590299	156.3677521	152.7032318
-37.4713077	144.7851531	335.1149292	152.7032318
-37.6510391	145.4999089	85.46349335	152.7032318
-37.8366585	145.4883534	163.0020142	152.7032318
-37.7799931	145.5303527	122.8097534	152.7032318
-37.7902939	145.0270741	25.13120461	610.8129272
-37.768258	145.5857101	105.9985733	152.7032318
-37.7366885	145.2225068	40.27988052	152.7032318
-37.6475483	145.5335877	144.842926	152.7032318
-37.7525496	145.6576584	140.5787354	152.7032318
-37.7925626	144.9718676	34.65416718	610.8129272
-37.724602	145.379623	87.79297638	152.7032318
